track_id,Track Name,Artist,Region,Streams,full_region_name,normalized_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,duration_ms_stand,duration_norm,loudness_stand,loudness_norm,tempo_norm
2CPqh63wRVscbceKcPxwvv,The Ocean,Mike Perry,id,7095,Indonesia,0.02215613525091799,0.632,0.575,5.0,-6.478,1.0,0.029,0.0225,1.81e-06,0.104,0.188,90.037,audio_features,2CPqh63wRVscbceKcPxwvv,spotify:track:2CPqh63wRVscbceKcPxwvv,https://api.spotify.com/v1/tracks/2CPqh63wRVscbceKcPxwvv,https://api.spotify.com/v1/audio-analysis/2CPqh63wRVscbceKcPxwvv,183414.0,4.0,183414.0,0.26733112083111293,-6.478,0.8061079716243837,0.24167938038561113
2Ce5IyMlVRVvN997ZJjJJA,Selfish,Future,de,41663,Germany,0.07542175502615883,0.415,0.369,8.0,-10.044,1.0,0.0741,0.0303,7.64e-06,0.383,0.0913,95.746,audio_features,2Ce5IyMlVRVvN997ZJjJJA,spotify:track:2Ce5IyMlVRVvN997ZJjJJA,https://api.spotify.com/v1/tracks/2Ce5IyMlVRVvN997ZJjJJA,https://api.spotify.com/v1/audio-analysis/2Ce5IyMlVRVvN997ZJjJJA,251423.0,4.0,251423.0,0.3869416641604539,-10.044,0.720355897559216,0.27202751479132664
2Ce5IyMlVRVvN997ZJjJJA,Selfish,Future,jp,2112,Japan,0.07763796364832634,0.415,0.369,8.0,-10.044,1.0,0.0741,0.0303,7.64e-06,0.383,0.0913,95.746,audio_features,2Ce5IyMlVRVvN997ZJjJJA,spotify:track:2Ce5IyMlVRVvN997ZJjJJA,https://api.spotify.com/v1/tracks/2Ce5IyMlVRVvN997ZJjJJA,https://api.spotify.com/v1/audio-analysis/2Ce5IyMlVRVvN997ZJjJJA,251423.0,4.0,251423.0,0.3869416641604539,-10.044,0.720355897559216,0.27202751479132664
2FU1HsEaZCHcjrFCXCjH9T,Kuzum,Bengü,tr,30913,Turkey,1.0,0.755,0.7879999999999999,9.0,-5.029,0.0,0.128,0.265,0.0,0.156,0.5660000000000001,96.994,audio_features,2FU1HsEaZCHcjrFCXCjH9T,spotify:track:2FU1HsEaZCHcjrFCXCjH9T,https://api.spotify.com/v1/tracks/2FU1HsEaZCHcjrFCXCjH9T,https://api.spotify.com/v1/audio-analysis/2FU1HsEaZCHcjrFCXCjH9T,186027.0,4.0,186027.0,0.27192672361485576,-5.029,0.8409522664422269,0.2786616839520086
2FqoR7diymD1Eh7cVb3DMg,Algo Me Gusta De Ti,Wisin & Yandel,py,1178,Paraguay,0.005470459518599562,0.627,0.759,11.0,-5.214,0.0,0.0356,0.00284,0.0,0.0586,0.251,127.964,audio_features,2FqoR7diymD1Eh7cVb3DMg,spotify:track:2FqoR7diymD1Eh7cVb3DMg,https://api.spotify.com/v1/tracks/2FqoR7diymD1Eh7cVb3DMg,https://api.spotify.com/v1/audio-analysis/2FqoR7diymD1Eh7cVb3DMg,274947.0,4.0,274947.0,0.428314400434762,-5.214,0.836503546952026,0.4432932696141231
2FrnTVSHjgnEylKGdHRUK1,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,cl,38665,Chile,0.19660837671882084,0.805,0.5820000000000001,2.0,-5.657,0.0,0.0627,0.0971,0.0,0.163,0.307,117.955,audio_features,2FrnTVSHjgnEylKGdHRUK1,spotify:track:2FrnTVSHjgnEylKGdHRUK1,https://api.spotify.com/v1/tracks/2FrnTVSHjgnEylKGdHRUK1,https://api.spotify.com/v1/audio-analysis/2FrnTVSHjgnEylKGdHRUK1,279276.0,4.0,279276.0,0.4359280110167837,-5.657,0.8258506673079236,0.39008702031182724
2GByM82VgSrwywP6MVZmsm,Black & Chinese,Huncho Jack,be,5178,Belgium,0.09553574730924289,0.667,0.848,1.0,-4.1560000000000015,1.0,0.0928,0.00285,0.0029100000000000003,0.125,0.361,159.15,audio_features,2GByM82VgSrwywP6MVZmsm,spotify:track:2GByM82VgSrwywP6MVZmsm,https://api.spotify.com/v1/tracks/2GByM82VgSrwywP6MVZmsm,https://api.spotify.com/v1/audio-analysis/2GByM82VgSrwywP6MVZmsm,172017.0,4.0,172017.0,0.24728669491212427,-4.1560000000000015,0.8619454130094987,0.6090730768617403
2GfxgssRHvY1azHtaRqKoK,Paredes - Ao Vivo,Jorge & Mateus,br,120318,Brazil,0.28865658487451384,0.619,0.925,8.0,-2.424,1.0,0.14800000000000002,0.17600000000000002,0.0,0.272,0.802,169.97400000000005,audio_features,2GfxgssRHvY1azHtaRqKoK,spotify:track:2GfxgssRHvY1azHtaRqKoK,https://api.spotify.com/v1/tracks/2GfxgssRHvY1azHtaRqKoK,https://api.spotify.com/v1/audio-analysis/2GfxgssRHvY1azHtaRqKoK,184033.0,4.0,184033.0,0.2684197844832893,-2.424,0.9035950462907298,0.6666117363130395
2Gl0FzuLxflY6nPifJp5Dr,First Time,Kygo,at,7243,Austria,0.3423268500948767,0.633,0.5920000000000001,0.0,-7.245,0.0,0.112,0.197,0.0,0.099,0.679,90.066,audio_features,2Gl0FzuLxflY6nPifJp5Dr,spotify:track:2Gl0FzuLxflY6nPifJp5Dr,https://api.spotify.com/v1/tracks/2Gl0FzuLxflY6nPifJp5Dr,https://api.spotify.com/v1/audio-analysis/2Gl0FzuLxflY6nPifJp5Dr,193511.0,4.0,193511.0,0.2850891772059509,-7.245,0.7876638210893352,0.24183353976514618
2HzfRSfCogBSsgW2CckVA2,Lot to Learn,Luke Christopher,no,12001,Norway,0.042898772273443846,0.422,0.852,6.0,-3.5460000000000003,1.0,0.208,0.0845,0.0,0.0687,0.6659999999999999,82.914,audio_features,2HzfRSfCogBSsgW2CckVA2,spotify:track:2HzfRSfCogBSsgW2CckVA2,https://api.spotify.com/v1/tracks/2HzfRSfCogBSsgW2CckVA2,https://api.spotify.com/v1/audio-analysis/2HzfRSfCogBSsgW2CckVA2,248387.0,4.0,248387.0,0.3816021119019605,-3.5460000000000003,0.8766141637609715,0.20381464726739212
